pin,district,state
488441,PANNA,MADHYA PRADESH
521182,KRISHNA,ANDHRA PRADESH
605652,VILLUPURAM,TAMIL NADU
737103,EAST DISTRICT,SIKKIM
802222,BHOJPUR,BIHAR
833216,SARAIKELA KHARSAWAN,JHARKHAND
625007,MADURAI,TAMIL NADU
679534,PALAKKAD,KERALA
522617,GUNTUR,ANDHRA PRADESH
301401,ALWAR,RAJASTHAN
412112,PUNE,MAHARASHTRA
176202,KANGRA,HIMACHAL PRADESH
416221,KOLHAPUR,MAHARASHTRA
392180,BHARUCH,GUJARAT
755051,JAJAPUR,ODISHA
628623,TUTICORIN,TAMIL NADU
757053,MAYURBHANJ,ODISHA
854328,ARARIA,BIHAR
638008,NAMAKKAL,TAMIL NADU
722202,BANKURA,WEST BENGAL
531036,VISAKHAPATANAM,ANDHRA PRADESH
794114,SOUTH GARO HILLS,MEGHALAYA
143303,Tarn Taran,PUNJAB
325204,KOTA,RAJASTHAN
283202,AGRA,UTTAR PRADESH
442908,CHANDRAPUR,MAHARASHTRA
224127,AYODHYA,UTTAR PRADESH
134105,PANCHKULA,HARYANA
458339,MANDSAUR,MADHYA PRADESH
151213,FARIDKOT,PUNJAB
173204,SOLAN,HIMACHAL PRADESH
414105,AHMEDNAGAR,MAHARASHTRA
623604,RAMANATHAPURAM,TAMIL NADU
679105,THRISSUR,KERALA
523327,PRAKASAM,ANDHRA PRADESH
148103,BARNALA,PUNJAB
400615,THANE,MAHARASHTRA
845435,PURBI CHAMPARAN,BIHAR
491228,BALOD,CHHATTISGARH
587115,BAGALKOTE,KARNATAKA
784507,SONITPUR,ASSAM
733201,DINAJPUR UTTAR,WEST BENGAL
768227,JHARSUGUDA,ODISHA
391125,CHHOTAUDEPUR,GUJARAT
741137,NADIA,WEST BENGAL
533235,EAST GODAVARI,ANDHRA PRADESH
343049,JALORE,RAJASTHAN
410221,RAIGAD,MAHARASHTRA
415502,SATARA,MAHARASHTRA
312202,CHITTORGARH,RAJASTHAN
422301,NASHIK,MAHARASHTRA
363410,BOTAD,GUJARAT
445402,YAVATMAL,MAHARASHTRA
606202,KALLAKURICHI,TAMIL NADU
691584,KOLLAM,KERALA
228125,SULTANPUR,UTTAR PRADESH
110088,NORTH,DELHI
262547,PITHORAGARH,UTTARAKHAND
823311,GAYA,BIHAR
575005,DAKSHINA KANNADA,KARNATAKA
496440,RAIGARH,CHHATTISGARH
134201,AMBALA,HARYANA
695304,THIRUVANANTHAPURAM,KERALA
341029,NAGAUR,RAJASTHAN
335001,GANGANAGAR,RAJASTHAN
686506,KOTTAYAM,KERALA
686587,KOTTAYAM,KERALA
713305,PASCHIM BARDHAMAN,WEST BENGAL
752037,KHORDHA,ODISHA
212109,PRAYAGRAJ,UTTAR PRADESH
803221,PATNA,BIHAR
814103,DUMKA,JHARKHAND
411046,PUNE,MAHARASHTRA
176091,KANGRA,HIMACHAL PRADESH
363035,SURENDRANAGAR,GUJARAT
721651,MEDINIPUR EAST,WEST BENGAL
491559,KABIRDHAM,CHHATTISGARH
614401,THANJAVUR,TAMIL NADU
229406,RAE BARELI,UTTAR PRADESH
575020,DAKSHINA KANNADA,KARNATAKA
516128,Y.S.R.,ANDHRA PRADESH
303508,DAUSA,RAJASTHAN
825319,HAZARIBAGH,JHARKHAND
754245,KENDRAPARA,ODISHA
751020,KHORDHA,ODISHA
563136,KOLAR,KARNATAKA
243004,BAREILLY,UTTAR PRADESH
416010,KOLHAPUR,MAHARASHTRA
799142,South Tripura,TRIPURA
829128,BOKARO,JHARKHAND
124111,ROHTAK,HARYANA
786010,DIBRUGARH,ASSAM
431114,JALNA,MAHARASHTRA
741201,NADIA,WEST BENGAL
455332,DEWAS,MADHYA PRADESH
791110,PAPUM PARE,ARUNACHAL PRADESH
171226,SHIMLA,HIMACHAL PRADESH
636453,SALEM,TAMIL NADU
848205,SAMASTIPUR,BIHAR
798601,MOKOKCHUNG,NAGALAND
680591,THRISSUR,KERALA
110052,NORTH WEST,DELHI
626134,VIRUDHUNAGAR,TAMIL NADU
396466,NAVSARI,GUJARAT
431537,PARBHANI,MAHARASHTRA
534006,WEST GODAVARI,ANDHRA PRADESH
608306,CUDDALORE,TAMIL NADU
795112,KANGPOKPI,MANIPUR
384005,MAHESANA,GUJARAT
500037,MEDCHAL MALKAJGIRI,TELANGANA
177104,KANGRA,HIMACHAL PRADESH
493776,DHAMTARI,CHHATTISGARH
532404,SRIKAKULAM,ANDHRA PRADESH
758083,KENDUJHAR,ODISHA
362540,DIU,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU
796111,AIZAWL,MIZORAM
532284,SRIKAKULAM,ANDHRA PRADESH
581120,HAVERI,KARNATAKA
673637,MALAPPURAM,KERALA
686580,KOTTAYAM,KERALA
691556,KOLLAM,KERALA
524307,SPSR NELLORE,ANDHRA PRADESH
700099,KOLKATA,WEST BENGAL
524322,SPSR NELLORE,ANDHRA PRADESH
530003,VISAKHAPATANAM,ANDHRA PRADESH
846007,DARBHANGA,BIHAR
133102,AMBALA,HARYANA
362020,JUNAGADH,GUJARAT
585324,KALABURAGI,KARNATAKA
713104,PURBA BARDHAMAN,WEST BENGAL
781017,KAMRUP METRO,ASSAM
523334,PRAKASAM,ANDHRA PRADESH
563113,KOLAR,KARNATAKA
244925,RAMPUR,UTTAR PRADESH
586206,VIJAYAPURA,KARNATAKA
175037,MANDI,HIMACHAL PRADESH
190009,SRINAGAR,JAMMU AND KASHMIR
332716,JHUNJHUNU,RAJASTHAN
560011,BENGALURU URBAN,KARNATAKA
587104,BAGALKOTE,KARNATAKA
743395,24 PARAGANAS SOUTH,WEST BENGAL
492003,RAIPUR,CHHATTISGARH
518102,KURNOOL,ANDHRA PRADESH
670305,KANNUR,KERALA
854339,SUPAUL,BIHAR
247666,HARIDWAR,UTTARAKHAND
142038,MOGA,PUNJAB
752081,NAYAGARH,ODISHA
305403,AJMER,RAJASTHAN
560013,BENGALURU URBAN,KARNATAKA
251201,MUZAFFARNAGAR,UTTAR PRADESH
460551,BETUL,MADHYA PRADESH
328001,DHOLPUR,RAJASTHAN
577002,DAVANGERE,KARNATAKA
262305,PILIBHIT,UTTAR PRADESH
577227,SHIVAMOGGA,KARNATAKA
431505,PARBHANI,MAHARASHTRA
232336,GHAZIPUR,UTTAR PRADESH
516259,Y.S.R.,ANDHRA PRADESH
431517,BEED,MAHARASHTRA
533464,EAST GODAVARI,ANDHRA PRADESH
585437,BIDAR,KARNATAKA
413204,AHMEDNAGAR,MAHARASHTRA
585445,BIDAR,KARNATAKA
628001,TUTICORIN,TAMIL NADU
734216,DARJEELING,WEST BENGAL
759116,ANUGUL,ODISHA
752062,KHORDHA,ODISHA
841442,SARAN,BIHAR
784527,UDALGURI,ASSAM
785108,JORHAT,ASSAM
683522,ERNAKULAM,KERALA
184141,KATHUA,JAMMU AND KASHMIR
574221,DAKSHINA KANNADA,KARNATAKA
229310,RAE BARELI,UTTAR PRADESH
642203,TIRUPPUR,TAMIL NADU
854109,KATIHAR,BIHAR
560068,BENGALURU URBAN,KARNATAKA
829134,RAMGARH,JHARKHAND
607803,CUDDALORE,TAMIL NADU
422208,NASHIK,MAHARASHTRA
224232,AMBEDKAR NAGAR,UTTAR PRADESH
531023,VISAKHAPATANAM,ANDHRA PRADESH
627657,TIRUNELVELI,TAMIL NADU
571126,CHAMARAJANAGARA,KARNATAKA
400061,MUMBAI SUBURBAN,MAHARASHTRA
504273,KUMURAM BHEEM ASIFABAD,TELANGANA
731129,BIRBHUM,WEST BENGAL
732101,MALDAH,WEST BENGAL
144022,JALANDHAR,PUNJAB
759107,ANUGUL,ODISHA
852128,MADHEPURA,BIHAR
515465,ANANTAPUR,ANDHRA PRADESH
496108,RAIGARH,CHHATTISGARH
753003,CUTTACK,ODISHA
620012,TIRUCHIRAPPALLI,TAMIL NADU
531035,VISAKHAPATANAM,ANDHRA PRADESH
502247,MEDAK,TELANGANA
636012,SALEM,TAMIL NADU
577547,CHIKKAMAGALURU,KARNATAKA
251307,MUZAFFARNAGAR,UTTAR PRADESH
700163,24 PARAGANAS NORTH,WEST BENGAL
342604,JODHPUR,RAJASTHAN
530052,VISAKHAPATANAM,ANDHRA PRADESH
307030,JALORE,RAJASTHAN
232328,GHAZIPUR,UTTAR PRADESH
713332,PASCHIM BARDHAMAN,WEST BENGAL
803118,NALANDA,BIHAR
670705,KANNUR,KERALA
521263,KRISHNA,ANDHRA PRADESH
524005,SPSR NELLORE,ANDHRA PRADESH
608702,CUDDALORE,TAMIL NADU
834003,RANCHI,JHARKHAND
752045,PURI,ODISHA
416807,SINDHUDURG,MAHARASHTRA
841214,SARAN,BIHAR
384151,PATAN,GUJARAT
574314,DAKSHINA KANNADA,KARNATAKA
759120,DHENKANAL,ODISHA
813107,BANKA,BIHAR
122413,GURUGRAM,HARYANA
394670,TAPI,GUJARAT
628801,TUTICORIN,TAMIL NADU
136129,KURUKSHETRA,HARYANA
249402,HARIDWAR,UTTARAKHAND
176071,KANGRA,HIMACHAL PRADESH
700112,24 PARAGANAS NORTH,WEST BENGAL
209863,MATHURA,UTTAR PRADESH
135103,YAMUNANAGAR,HARYANA
271305,BASTI,UTTAR PRADESH
414609,AHMEDNAGAR,MAHARASHTRA
534240,WEST GODAVARI,ANDHRA PRADESH
835228,SIMDEGA,JHARKHAND
261151,SITAPUR,UTTAR PRADESH
312605,PRATAPGARH,RAJASTHAN
682310,ERNAKULAM,KERALA
743702,24 PARAGANAS NORTH,WEST BENGAL
181203,JAMMU,JAMMU AND KASHMIR
364522,AMRELI,GUJARAT
232332,GHAZIPUR,UTTAR PRADESH
416235,KOLHAPUR,MAHARASHTRA
140110,S.A.S Nagar,PUNJAB
416420,SANGLI,MAHARASHTRA
613202,THANJAVUR,TAMIL NADU
768106,SAMBALPUR,ODISHA
603112,CHENGALPATTU,TAMIL NADU
246178,PAURI GARHWAL,UTTARAKHAND
396530,NAVSARI,GUJARAT
785619,GOLAGHAT,ASSAM
786103,DIBRUGARH,ASSAM
226008,LUCKNOW,UTTAR PRADESH
603202,CHENGALPATTU,TAMIL NADU
400027,MUMBAI,MAHARASHTRA
413406,SOLAPUR,MAHARASHTRA
470228,SAGAR,MADHYA PRADESH
741301,NADIA,WEST BENGAL
342006,JODHPUR,RAJASTHAN
325202,BARAN,RAJASTHAN
754131,CUTTACK,ODISHA
784521,UDALGURI,ASSAM
678613,PALAKKAD,KERALA
802159,BHOJPUR,BIHAR
841207,SARAN,BIHAR
305415,AJMER,RAJASTHAN
322034,SAWAI MADHOPUR,RAJASTHAN
518006,KURNOOL,ANDHRA PRADESH
792105,NAMSAI,ARUNACHAL PRADESH
606115,CUDDALORE,TAMIL NADU
535125,SRIKAKULAM,ANDHRA PRADESH
523320,PRAKASAM,ANDHRA PRADESH
532215,SRIKAKULAM,ANDHRA PRADESH
263625,ALMORA,UTTARAKHAND
580032,DHARWAD,KARNATAKA
757091,MAYURBHANJ,ODISHA
444813,AMRAVATI,MAHARASHTRA
231224,SONBHADRA,UTTAR PRADESH
245208,HAPUR,UTTAR PRADESH
521120,KRISHNA,ANDHRA PRADESH
422213,NASHIK,MAHARASHTRA
577126,CHIKKAMAGALURU,KARNATAKA
638301,ERODE,TAMIL NADU
361335,DEVBHUMI DWARKA,GUJARAT
388550,ANAND,GUJARAT
211020,PRAYAGRAJ,UTTAR PRADESH
121005,FARIDABAD,HARYANA
176063,KANGRA,HIMACHAL PRADESH
192211,ANANTNAG,JAMMU AND KASHMIR
226029,LUCKNOW,UTTAR PRADESH
845406,PURBI CHAMPARAN,BIHAR
431116,AURANGABAD,MAHARASHTRA
504201,MANCHERIAL,TELANGANA
624302,DINDIGUL,TAMIL NADU
722147,BANKURA,WEST BENGAL
721260,MEDINIPUR WEST,WEST BENGAL
799113,Gomati,TRIPURA
209111,KANPUR DEHAT,UTTAR PRADESH
133206,AMBALA,HARYANA
493889,GARIYABAND,CHHATTISGARH
712405,HOOGHLY,WEST BENGAL
800018,PATNA,BIHAR
506134,MAHABUBABAD,TELANGANA
759132,ANUGUL,ODISHA
251001,MUZAFFARNAGAR,UTTAR PRADESH
587120,BAGALKOTE,KARNATAKA
151004,BATHINDA,PUNJAB
143520,GURDASPUR,PUNJAB
577211,SHIVAMOGGA,KARNATAKA
122051,GURUGRAM,HARYANA
361350,DEVBHUMI DWARKA,GUJARAT
577216,SHIVAMOGGA,KARNATAKA
591236,BELAGAVI,KARNATAKA
601206,THIRUVALLUR,TAMIL NADU
685515,IDUKKI,KERALA
516359,Y.S.R.,ANDHRA PRADESH
792111,LOHIT,ARUNACHAL PRADESH
403708,SOUTH GOA,GOA
560084,BENGALURU URBAN,KARNATAKA
574213,DAKSHINA KANNADA,KARNATAKA
401404,PALGHAR,MAHARASHTRA
147111,PATIALA,PUNJAB
637014,NAMAKKAL,TAMIL NADU
721452,MEDINIPUR EAST,WEST BENGAL
783349,DHUBRI,ASSAM
176054,KANGRA,HIMACHAL PRADESH
795002,IMPHAL EAST,MANIPUR
263149,UDAM SINGH NAGAR,UTTARAKHAND
824120,AURANGABAD,BIHAR
686532,KOTTAYAM,KERALA
144403,KAPURTHALA,PUNJAB
192201,ANANTNAG,JAMMU AND KASHMIR
250002,MEERUT,UTTAR PRADESH
396440,NAVSARI,GUJARAT
629704,KANNIYAKUMARI,TAMIL NADU
272173,SANT KABEER NAGAR,UTTAR PRADESH
160036,CHANDIGARH,CHANDIGARH
534427,WEST GODAVARI,ANDHRA PRADESH
171015,SHIMLA,HIMACHAL PRADESH
442507,CHANDRAPUR,MAHARASHTRA
623516,RAMANATHAPURAM,TAMIL NADU
670675,KANNUR,KERALA
603111,CHENGALPATTU,TAMIL NADU
635001,KRISHNAGIRI,TAMIL NADU
389390,PANCH MAHALS,GUJARAT
721604,MEDINIPUR EAST,WEST BENGAL
627152,TIRUNELVELI,TAMIL NADU
177103,KANGRA,HIMACHAL PRADESH
682309,ERNAKULAM,KERALA
250344,MEERUT,UTTAR PRADESH
629301,KANNIYAKUMARI,TAMIL NADU
713153,PURBA BARDHAMAN,WEST BENGAL
799102,Sepahijala,TRIPURA
412402,PUNE,MAHARASHTRA
142056,MOGA,PUNJAB
125044,HISAR,HARYANA
263656,ALMORA,UTTARAKHAND
505467,KARIMNAGAR,TELANGANA
466651,SEHORE,MADHYA PRADESH
577549,CHIKKAMAGALURU,KARNATAKA
311806,BHILWARA,RAJASTHAN
591234,BELAGAVI,KARNATAKA
421203,THANE,MAHARASHTRA
277501,BALLIA,UTTAR PRADESH
606708,TIRUVANNAMALAI,TAMIL NADU
313803,UDAIPUR,RAJASTHAN
505498,KARIMNAGAR,TELANGANA
583238,KOPPAL,KARNATAKA
492013,RAIPUR,CHHATTISGARH
228118,SULTANPUR,UTTAR PRADESH
412205,PUNE,MAHARASHTRA
136136,KURUKSHETRA,HARYANA
670593,KANNUR,KERALA
678501,PALAKKAD,KERALA
678702,PALAKKAD,KERALA
283142,FIROZABAD,UTTAR PRADESH
394550,SURAT,GUJARAT
241123,HARDOI,UTTAR PRADESH
481117,BALAGHAT,MADHYA PRADESH
581347,UTTARA KANNADA,KARNATAKA
177028,HAMIRPUR,HIMACHAL PRADESH
713338,PASCHIM BARDHAMAN,WEST BENGAL
752013,PURI,ODISHA
803216,NALANDA,BIHAR
302043,JAIPUR,RAJASTHAN
335037,GANGANAGAR,RAJASTHAN
486550,REWA,MADHYA PRADESH
591243,BELAGAVI,KARNATAKA
676103,MALAPPURAM,KERALA
754106,JAGATSINGHAPUR,ODISHA
846008,DARBHANGA,BIHAR
171013,SHIMLA,HIMACHAL PRADESH
688561,ALAPPUZHA,KERALA
563114,KOLAR,KARNATAKA
313603,UDAIPUR,RAJASTHAN
676523,MALAPPURAM,KERALA
585311,KALABURAGI,KARNATAKA
682040,ERNAKULAM,KERALA
229408,PRATAPGARH,UTTAR PRADESH
627359,TIRUNELVELI,TAMIL NADU
221401,BHADOHI,UTTAR PRADESH
623504,RAMANATHAPURAM,TAMIL NADU
521320,KRISHNA,ANDHRA PRADESH
628216,TUTICORIN,TAMIL NADU
422207,NASHIK,MAHARASHTRA
560064,BENGALURU URBAN,KARNATAKA
804426,ARWAL,BIHAR
680312,THRISSUR,KERALA
563121,KOLAR,KARNATAKA
396055,VALSAD,GUJARAT
691551,PATHANAMTHITTA,KERALA
127308,CHARKI DADRI,HARYANA
222126,JAUNPUR,UTTAR PRADESH
273157,MAHARAJGANJ,UTTAR PRADESH
450114,EAST NIMAR,MADHYA PRADESH
208023,KANPUR NAGAR,UTTAR PRADESH
415211,SATARA,MAHARASHTRA
799275,Dhalai,TRIPURA
488050,PANNA,MADHYA PRADESH
496115,JASHPUR,CHHATTISGARH
535216,VIZIANAGARAM,ANDHRA PRADESH
148106,BARNALA,PUNJAB
626125,VIRUDHUNAGAR,TAMIL NADU
636138,SALEM,TAMIL NADU
410401,PUNE,MAHARASHTRA
182207,DODA,JAMMU AND KASHMIR
363655,JAMNAGAR,GUJARAT
332742,SIKAR,RAJASTHAN
464661,RAISEN,MADHYA PRADESH
422209,NASHIK,MAHARASHTRA
622201,PUDUKKOTTAI,TAMIL NADU
364290,BHAVNAGAR,GUJARAT
400608,THANE,MAHARASHTRA
695610,THIRUVANANTHAPURAM,KERALA
782402,KAMRUP METRO,ASSAM
637105,SALEM,TAMIL NADU
191101,SRINAGAR,JAMMU AND KASHMIR
306601,PALI,RAJASTHAN
533348,EAST GODAVARI,ANDHRA PRADESH
756122,BHADRAK,ODISHA
314027,DUNGARPUR,RAJASTHAN
323613,BUNDI,RAJASTHAN
342303,JODHPUR,RAJASTHAN
384170,MAHESANA,GUJARAT
441226,CHANDRAPUR,MAHARASHTRA
799287,Dhalai,TRIPURA
261201,SITAPUR,UTTAR PRADESH
470004,SAGAR,MADHYA PRADESH
534202,WEST GODAVARI,ANDHRA PRADESH
500115,RANGA REDDY,TELANGANA
506112,MAHABUBABAD,TELANGANA
424308,DHULE,MAHARASHTRA
396007,VALSAD,GUJARAT
754253,KENDRAPARA,ODISHA
383317,ARVALLI,GUJARAT
413133,PUNE,MAHARASHTRA
276135,AZAMGARH,UTTAR PRADESH
607804,CUDDALORE,TAMIL NADU
643220,THE NILGIRIS,TAMIL NADU
691552,PATHANAMTHITTA,KERALA
755017,JAJAPUR,ODISHA
761006,GANJAM,ODISHA
764074,NABARANGPUR,ODISHA
301413,ALWAR,RAJASTHAN
520013,KRISHNA,ANDHRA PRADESH
382435,AHMADABAD,GUJARAT
413511,LATUR,MAHARASHTRA
622204,PUDUKKOTTAI,TAMIL NADU
623403,RAMANATHAPURAM,TAMIL NADU
627804,TENKASI,TAMIL NADU
678624,PALAKKAD,KERALA
671326,KASARAGOD,KERALA
686520,KOTTAYAM,KERALA
691532,KOLLAM,KERALA
305207,AJMER,RAJASTHAN
670105,KANNUR,KERALA
344011,BARMER,RAJASTHAN
582101,GADAG,KARNATAKA
591153,BELAGAVI,KARNATAKA
458002,MANDSAUR,MADHYA PRADESH
781029,KAMRUP METRO,ASSAM
431401,PARBHANI,MAHARASHTRA
517422,CHITTOOR,ANDHRA PRADESH
795001,IMPHAL EAST,MANIPUR
700011,KOLKATA,WEST BENGAL
190025,SRINAGAR,JAMMU AND KASHMIR
441914,BHANDARA,MAHARASHTRA
631502,KANCHIPURAM,TAMIL NADU
713365,PASCHIM BARDHAMAN,WEST BENGAL
846005,DARBHANGA,BIHAR
383330,ARVALLI,GUJARAT
472336,Niwari,MADHYA PRADESH
505152,PEDDAPALLI,TELANGANA
507303,KHAMMAM,TELANGANA
412105,PUNE,MAHARASHTRA
756113,BHADRAK,ODISHA
206245,ETAWAH,UTTAR PRADESH
302026,JAIPUR,RAJASTHAN
416522,SINDHUDURG,MAHARASHTRA
470664,DAMOH,MADHYA PRADESH
759119,ANUGUL,ODISHA
517418,CHITTOOR,ANDHRA PRADESH
507302,KHAMMAM,TELANGANA
700088,KOLKATA,WEST BENGAL
764061,NABARANGPUR,ODISHA
416121,KOLHAPUR,MAHARASHTRA
767033,BALANGIR,ODISHA
781374,NALBARI,ASSAM
414111,AHMEDNAGAR,MAHARASHTRA
691307,KOLLAM,KERALA
534312,WEST GODAVARI,ANDHRA PRADESH
232329,GHAZIPUR,UTTAR PRADESH
600028,CHENNAI,TAMIL NADU
852137,SUPAUL,BIHAR
676305,MALAPPURAM,KERALA
700154,24 PARAGANAS SOUTH,WEST BENGAL
506101,MAHABUBABAD,TELANGANA
133004,AMBALA,HARYANA
532460,SRIKAKULAM,ANDHRA PRADESH
453111,INDORE,MADHYA PRADESH
306702,PALI,RAJASTHAN
629004,KANNIYAKUMARI,TAMIL NADU
177022,HAMIRPUR,HIMACHAL PRADESH
752034,KHORDHA,ODISHA
193402,BARAMULLA,JAMMU AND KASHMIR
403724,SOUTH GOA,GOA
563163,KOLAR,KARNATAKA
799002,West Tripura,TRIPURA
700029,KOLKATA,WEST BENGAL
460668,BETUL,MADHYA PRADESH
461005,HOSHANGABAD,MADHYA PRADESH
431137,AURANGABAD,MAHARASHTRA
276127,AZAMGARH,UTTAR PRADESH
415719,RATNAGIRI,MAHARASHTRA
587156,BAGALKOTE,KARNATAKA
628703,TUTICORIN,TAMIL NADU
180005,JAMMU,JAMMU AND KASHMIR
506151,WARANGAL URBAN,TELANGANA
731224,BIRBHUM,WEST BENGAL
802183,BHOJPUR,BIHAR
396433,NAVSARI,GUJARAT
625122,MADURAI,TAMIL NADU
786622,DIBRUGARH,ASSAM
201005,GHAZIABAD,UTTAR PRADESH
410506,PUNE,MAHARASHTRA
621207,TIRUCHIRAPPALLI,TAMIL NADU
768109,DEOGARH,ODISHA
361110,JAMNAGAR,GUJARAT
382240,AHMADABAD,GUJARAT
411067,PUNE,MAHARASHTRA
560300,BENGALURU URBAN,KARNATAKA
209868,UNNAO,UTTAR PRADESH
787059,DHEMAJI,ASSAM
574240,DAKSHINA KANNADA,KARNATAKA
362560,GIR SOMNATH,GUJARAT
764036,KORAPUT,ODISHA
843311,SITAMARHI,BIHAR
222141,JAUNPUR,UTTAR PRADESH
713369,PASCHIM BARDHAMAN,WEST BENGAL
560080,BENGALURU URBAN,KARNATAKA
671319,KASARAGOD,KERALA
311302,BHILWARA,RAJASTHAN
515241,ANANTAPUR,ANDHRA PRADESH
273014,GORAKHPUR,UTTAR PRADESH
614702,THIRUVARUR,TAMIL NADU
517432,CHITTOOR,ANDHRA PRADESH
635655,Tirupathur,TAMIL NADU
302040,JAIPUR,RAJASTHAN
676121,MALAPPURAM,KERALA
767046,BALANGIR,ODISHA
410102,RAIGAD,MAHARASHTRA
768220,JHARSUGUDA,ODISHA
770001,SUNDARGARH,ODISHA
322238,KARAULI,RAJASTHAN
246149,PAURI GARHWAL,UTTARAKHAND
614622,PUDUKKOTTAI,TAMIL NADU
244923,RAMPUR,UTTAR PRADESH
341020,NAGAUR,RAJASTHAN
246285,PAURI GARHWAL,UTTARAKHAND
624612,DINDIGUL,TAMIL NADU
533007,EAST GODAVARI,ANDHRA PRADESH
796772,LAWNGTLAI,MIZORAM
784150,SONITPUR,ASSAM
274305,KUSHI NAGAR,UTTAR PRADESH
563126,KOLAR,KARNATAKA
421305,THANE,MAHARASHTRA
854336,ARARIA,BIHAR
249121,TEHRI GARHWAL,UTTARAKHAND
177001,HAMIRPUR,HIMACHAL PRADESH
261141,SITAPUR,UTTAR PRADESH
141010,LUDHIANA,PUNJAB
415302,SANGLI,MAHARASHTRA
483775,KATNI,MADHYA PRADESH
533446,EAST GODAVARI,ANDHRA PRADESH
673103,KOZHIKODE,KERALA
793006,EAST KHASI HILLS,MEGHALAYA
627012,TIRUNELVELI,TAMIL NADU
712616,HOOGHLY,WEST BENGAL
700091,24 PARAGANAS NORTH,WEST BENGAL
733132,DINAJPUR DAKSHIN,WEST BENGAL
473662,SHIVPURI,MADHYA PRADESH
585214,KALABURAGI,KARNATAKA
743129,24 PARAGANAS NORTH,WEST BENGAL
151204,FARIDKOT,PUNJAB
767028,BALANGIR,ODISHA
786190,TINSUKIA,ASSAM
761214,GAJAPATI,ODISHA
385520,BANAS KANTHA,GUJARAT
802217,ROHTAS,BIHAR
577502,CHITRADURGA,KARNATAKA
635811,Tirupathur,TAMIL NADU
516247,Y.S.R.,ANDHRA PRADESH
695014,THIRUVANANTHAPURAM,KERALA
637104,SALEM,TAMIL NADU
341513,NAGAUR,RAJASTHAN
522017,GUNTUR,ANDHRA PRADESH
606906,TIRUVANNAMALAI,TAMIL NADU
764073,NABARANGPUR,ODISHA
635109,KRISHNAGIRI,TAMIL NADU
122006,GURUGRAM,HARYANA
505307,RAJANNA SIRCILLA,TELANGANA
792110,DIBANG VALLEY,ARUNACHAL PRADESH
246735,BIJNOR,UTTAR PRADESH
362510,GIR SOMNATH,GUJARAT
244415,MORADABAD,UTTAR PRADESH
792055,CHANGLANG,ARUNACHAL PRADESH
414601,AHMEDNAGAR,MAHARASHTRA
110043,SOUTH WEST,DELHI
680567,THRISSUR,KERALA
743371,24 PARAGANAS SOUTH,WEST BENGAL
695002,THIRUVANANTHAPURAM,KERALA
614706,THIRUVARUR,TAMIL NADU
841439,SIWAN,BIHAR
261204,SITAPUR,UTTAR PRADESH
507101,BHADRADRI KOTHAGUDEM,TELANGANA
585306,KALABURAGI,KARNATAKA
413319,SOLAPUR,MAHARASHTRA
466116,SEHORE,MADHYA PRADESH
581210,HAVERI,KARNATAKA
799145,South Tripura,TRIPURA
301713,ALWAR,RAJASTHAN
172112,KINNAUR,HIMACHAL PRADESH
193301,BARAMULLA,JAMMU AND KASHMIR
744202,NORTH AND MIDDLE ANDAMAN,ANDAMAN AND NICOBAR ISLANDS
172103,KINNAUR,HIMACHAL PRADESH
522256,GUNTUR,ANDHRA PRADESH
688533,ALAPPUZHA,KERALA
431005,AURANGABAD,MAHARASHTRA
711304,HOWRAH,WEST BENGAL
614208,THANJAVUR,TAMIL NADU
402204,RAIGAD,MAHARASHTRA
799131,Sepahijala,TRIPURA
508257,NALGONDA,TELANGANA
522402,GUNTUR,ANDHRA PRADESH
803108,NALANDA,BIHAR
332318,SIKAR,RAJASTHAN
833223,WEST SINGHBHUM,JHARKHAND
754022,CUTTACK,ODISHA
470221,SAGAR,MADHYA PRADESH
788009,CACHAR,ASSAM
623522,RAMANATHAPURAM,TAMIL NADU
711309,HOWRAH,WEST BENGAL
614704,THANJAVUR,TAMIL NADU
201002,GHAZIABAD,UTTAR PRADESH
641003,COIMBATORE,TAMIL NADU
690548,ALAPPUZHA,KERALA
313038,UDAIPUR,RAJASTHAN
680611,THRISSUR,KERALA
691306,KOLLAM,KERALA
798618,MOKOKCHUNG,NAGALAND
209721,KANNAUJ,UTTAR PRADESH
333026,JHUNJHUNU,RAJASTHAN
413525,OSMANABAD,MAHARASHTRA
523272,PRAKASAM,ANDHRA PRADESH
509376,NAGARKURNOOL,TELANGANA
782439,HOJAI,ASSAM
689653,PATHANAMTHITTA,KERALA
400094,MUMBAI SUBURBAN,MAHARASHTRA
790102,EAST KAMENG,ARUNACHAL PRADESH
307031,SIROHI,RAJASTHAN
642007,COIMBATORE,TAMIL NADU
521401,KRISHNA,ANDHRA PRADESH
134202,AMBALA,HARYANA
756079,BALESHWAR,ODISHA
608304,CUDDALORE,TAMIL NADU
442605,GADCHIROLI,MAHARASHTRA
759147,ANUGUL,ODISHA
534209,WEST GODAVARI,ANDHRA PRADESH
524320,SPSR NELLORE,ANDHRA PRADESH
734001,DARJEELING,WEST BENGAL
735219,JALPAIGURI,WEST BENGAL
387620,KHEDA,GUJARAT
493449,MAHASAMUND,CHHATTISGARH
229125,RAE BARELI,UTTAR PRADESH
173207,SOLAN,HIMACHAL PRADESH
281202,MATHURA,UTTAR PRADESH
305021,AJMER,RAJASTHAN
507168,KHAMMAM,TELANGANA
